name,color,category,breadcrumbs,description
Beach Shorts,Black,Clothing,Women/Clothing,Splashing in the surf. Making memories with your friends. Beach days are the best days. These shorts are made of stretchy woven fabric. An elastic waistband that features the adidas logo brings a sporty look to your day at the beach.
Five Ten Kestrel Lace Mountain Bike Shoes,Grey,Shoes,Women/Shoes,Lace up and get after it. The Five Ten Kestrel Lace Mountain Bike Shoes offer efficient pedal power with low-profile style. The wide platform is compatible with all clipless pedals and offers high-friction grip on and off the bike. You'll find the find comfort and versatility for extended trail rides and afterwork hot laps alike.
Mexico Away Jersey,White,Clothing,Kids/Clothing,"Clean and crisp, this adidas Mexico Away Jersey for juniors displays a design that began life in an artist's studio. Soft, quick-drying fabric keeps you comfortable. Standing out on the chest, a team badge lets fans show pride in their soccer team."
Five Ten Hiangle Pro Competition Climbing Shoes,Black,Shoes,Five Ten/Shoes,"The Hiangle Pro takes on the classic shape of the original Hiangle with the addition of a seamless outsole wrapping around the toes, allowing for maximum rubber contact when tackling the most challenging boulder problems."
Mesh Broken-Stripe Polo Shirt,Blue,Clothing,Men/Clothing,"Step up to the tee relaxed. This adidas golf polo shirt lets you focus on accurate drives and putts. Four-way stretch matches the body's natural movements. Breathable fabric keeps you comfortable spring, summer and fall. Recycled materials are one step towards reducing plastic waste."
EQT Spikeless Golf Shoes,Grey,Shoes,Women/Shoes,"Put comfort first. These adidas spikeless golf shoes combine a Bounce midsole and a Boost heel for a lightweight, responsive feel that helps you convert bogie's to birdies. They repel water to keep your feet dry through wet fairways. The versatile rubber outsole ensures easy transitions from your final putt to cold drinks at the clubhouse. Recycled materials are one step towards reducing plastic waste."
Adicross Hybrid Shorts,Black,Clothing,Men/Clothing,"On the golf course, comfort is an essential component of keeping your concentration locked in on each shot. Stay focused as the temperature heats up with these ultra-lightweight adidas shorts. Move naturally through your round from the first tee to the 18th green. Then head for the clubhouse feeling ready for whatever comes next."
Tiro 21 Windbreaker,Black,Clothing,Kids/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the winds pick up, this juniors' adidas Tiro 21 Windbreaker has you covered. Moisture-absorbing AEROREADY and a mesh lining keep you dry. The streamlined silhouette ensures nothing gets in the way of your ball skills on the touchline.

This product is made with recycled content as part of our ambition to end plastic waste."
Classic 3-Stripes Swimsuit,Black,Clothing,Women/Clothing,"You can show your concern for the health of the oceans while you increase your fitness in the pool. This adidas swimsuit is designed for comfort and support. Soft and fully lined, it's made with yarn spun from recycled materials. Iconic 3-Stripes tape on the sides gives it a sporty and classic look."
Tiro 21 Windbreaker,Black,Clothing,Men/Clothing,"You can't always be a force of nature in soccer training. So when the intensity drops and the breeze picks up, this adidas Tiro 21 Windbreaker has you covered on the sidelines. Moisture-absorbing AEROREADY and a mesh lining help keep you dry while you're sheltering. The streamlined silhouette means you can stay mobile while you're waiting for the gusts to die down."
Formotion Sculpt Biker Short Tights,Black,Clothing,Women/Clothing,"Sometimes confidence comes in a surprising form. These adidas short tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive FORMOTION design follows your natural movement for a better fit and greater comfort in motion. A high-rise waist helps you focus, even before class begins."
Athletic Cushioned Crew Socks 6 Pairs,White,Accessories,Men/Accessories,"Stop searching for the lost match to your favorite socks. With six pairs of matching socks, you'll always have a set. These adidas crew socks support your feet with foot-hugging arch support. The stretch blend pulls moisture away from the skin to keep feet feeling dry."
Inter Miami CF Home Authentic Jersey,White,Clothing,Kids/Clothing,"The future's a blank canvas. When Inter Miami CF step out in front of the home crowd, they'll wear a white uniform that shines under the Florida sun. This adidas soccer jersey is a juniors' version of their official home shirt. It keeps you dry on the training ground, though it's clean enough to wear on the street. The lightweight fabric displays embossed herons and sunset-pink details."
Cushioned Mid-Crew Socks 2 Pairs,Black,Accessories,Men/Accessories,"To get serious about training, start from the ground up. Give your feet the cushioned support and moisture-absorbing comfort of these adidas mid-cut crew socks. They have a Traxion footbed for a secure, no-slip fit as you train."
Tour Camo-Print Hat,Blue,Accessories,Men/Accessories,"Whether you prefer to dress it up or keep it casual, this adidas golf hat adds the finishing touch to any look on the links. Block your face from the bright sun as you eye the green. Play through in comfort and head for the clubhouse in versatile, street-inspired style.

This product is made with Primegreen, a series of high-performance recycled materials."
Essentials Loose Logo Tank Top,Purple,Clothing,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion."
Essentials Loose Logo Tank Top,Pink,Clothing,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion."
Superstar Shoes,White,Shoes,Kids/Shoes,"Ready to shine. Whether they're watching a game from the sidelines or taking their first steps towards shooting hoops themselves, these shoes will set your infant up for success. Ever since 1970, when the adidas Superstar shoe first appeared on the basketball court, they've held their place as an icon. This version shines with iridescent 3-Stripes. Elastic laces allow for easy on and off."
Essentials Loose Logo Tank Top,Green,Clothing,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion."
Formotion Sculpt Tights,Blue,Clothing,Women/Clothing,"Sometimes confidence comes in a surprising form. These adidas tights have a unique sculpted shape to hold you in and targeted compression zones that support your muscles as you bend and stretch. If a compression look is not your thing, order a size up. An adaptive Formotion design follows your natural movement for a better fit and greater comfort in motion. A high rise and flattering length help you focus, even before class begins."
Marvel X Ghosted.3 Firm Ground Cleats,Blue,Shoes,Soccer/Shoes,X has mutated to give you superhuman acceleration. These limited-edition adidas soccer cleats fire a classic comic book character onto the pitch. Cyclops and Marvel X-Men graphics light up the semi-transparent and foot-hugging Speedskin upper as well as the insole. The low-cut silhouette with signature Clawcollar shape locks your foot in for match-long stability and support. The stretchy tongue ensures you can get into them in a flash.
Pureboost 21 Shoes,Purple,Shoes,Women/Shoes,"For quick morning miles and more. These adidas Pureboost performance running shoes are so simple, you'll want to wear them beyond your daily run. With responsive BOOST, the comfort is clear as soon as you slip them on. The soft knit upper comes with an external heel counter, which locks your foot in place as you run down that last hill."
Lite Racer BYD 2.0 Shoes,Grey,Shoes,Men/Shoes,"Simplicity, versatility and comfort. Lace up these running-inspired shoes on action-filled days. They're quick to slip on when you're racing out the door. The rubber outsole gives you traction on slippery and uneven surfaces. A Cloudfoam midsole is for a soft feel and all-day cushioning.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Adilette Shower Slides,Pink,Shoes,Women/Shoes,"When you hit the pool, there's only one thing you need: these adidas slides. Okay, and a bathing suit. The point is, there's no need to pack a separate pair of shoes in your gym bag. All your pre- and post-pool comfort is right here. The slides dry quickly, so hop out of the shower and straight into them before taking on the rest of the day."
Essentials Loose Logo Tank Top,White,Clothing,Women/Clothing,"What's on the agenda? Whether it's a quick lunch hour workout or a casual hang, you're covered with this adidas tank top. The fit is not too tight and not too loose — just perfectly comfortable. The high neck keeps things covered up front, and the racerback shows off your sports bra while also making sure you have a full range of motion."
Conext 21 Mini Ball,White,Accessories,Men/Accessories,"The world moves to the beat of the beautiful game. This adidas Conext 21 Mini Ball displays a vibrant design inspired by motion. Its interlinking panels represent the unity of soccer's six continental federations. Beneath the laminated surface, a foam core means you won't need a pump to keep this pint-sized ball rolling."
Essentials Logo Dress,Purple,Clothing,Women/Clothing,"If ease is what you're looking for, then the search stops here. This adidas dress is all about it. All you have to do is pull it on, and instantly you're set with comfort. And style, which just comes naturally when there's a big and undeniable adidas Badge of Sport making a statement on the front. The loose shape drapes the body in soft cotton and lets you move entirely your way."
Copa Sense.3 Turf Shoes,White,Shoes,Men/Shoes,"In the cage. On the court. When the walls close in, your senses take over. Let Copa Sense elevate your touch as you switch up your game. The stretchy collar on these adidas soccer shoes makes for easy entry and a secure fit. Once on, the anatomically designed upper keeps you firmly locked in. Soft and durable, the leather forefoot brings step-in comfort and a touch that buys you time on the busiest courts."
Best Version of Myself Slogan Graphic Tank Top,Yellow,Clothing,Women/Clothing,"Every day brings a new opportunity to be the best version of yourself. The inspirational graphic on this adidas tank top reminds you to strive to be a little bit better than the day before. Reach for that goal in comfort, thanks to the racerback design and moisture-absorbing AEROREADY technology. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste."
Essentials 3-Stripes Full-Zip Hoodie,Green,Clothing,Women/Clothing,"There are a lot of things we compromise on in life. Comfort isn't one of them. Not with this adidas hoodie, at least. It's made from soft, stretchy cotton to make sure nothing limits your movements. Whether you're warming up or laying low, the casual layer keeps you feeling good on all fronts."
Best Version of Myself Slogan Graphic Tank Top,Black,Clothing,Women/Clothing,"Every day brings a new opportunity to be the best version of yourself. The inspirational graphic on this adidas tank top reminds you to strive to be a little bit better than the day before. Reach for that goal in comfort, thanks to the racerback design and moisture-absorbing AEROREADY technology. 

By buying cotton products from us, you're supporting more sustainable cotton farming. This product is made with recycled content as part of our ambition to end plastic waste."
adidas Sportswear Future Icons Logo Graphic Tee,Blue,Clothing,Men/Clothing,"There are times to go hard, and then there are moments to give into the stillness. Both are a showcase of strength. Whatever the speed, this adidas t-shirt is down for it. Soft material hangs on the body with a loose, casual shape for total comfort. A logo graphic on the front puts your dedication on full display — not like it wasn't already clear."
FutureNatural Shoes,Blue,Shoes,Men/Shoes,"Trends change, but feet remain the same. Made for running and training, these adidas shoes were designed to work with the foot to support natural movement in every direction. A smooth transition between the adidas Primeknit upper and injected PU midsole provides a seamless fit and unrestricted feel. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Marvel Superhero Racer TR 2.0 Shoes,Black,Shoes,Kids/Shoes,"For the toddler in your family who's already always on the move, keep their feet cozy in these adidas shoes. The soft upper and lightweight midsole let them explore the big new world in comfort and confidence.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Primegreen Essentials Warm-Up Slim 3-Stripes Track Jacket,Blue,Clothing,Women/Clothing,"Dash out the door feeling ready for it all. This track jacket has a slim cut with raglan sleeves for a distraction-free feel while warming up or recovering later on. Side pockets keep a bus pass and music player within reach. 

This product is made with Primegreen, a series of high-performance recycled materials."
Sherpa Jacket,Black,Clothing,Women/Clothing,"Get the best of ease and style in this adidas Sherpa jacket. Super-soft, ultra fluffy fleece blankets you in comfort. Its voluminous balloon shape, emphasized by elastic on the waist and cuffs, ensures a standout look. Layered pockets play up the drama even more. Statement made."
Sherpa Jacket,White,Clothing,Women/Clothing,"Get the best of ease and style in this adidas Sherpa jacket. Super-soft, ultra fluffy fleece blankets you in comfort. Its voluminous balloon shape, emphasized by elastic on the waist and cuffs, ensures a standout look. Layered pockets play up the drama even more. Statement made."
Yoga Pants,Green,Clothing,Men/Clothing,"Find your bliss in these adidas yoga pants. AEROREADY wicks away moisture as you try to hold your Scorpion Pose one more second. The soft French terry build might make you not want to get up from Corpse Pose. But achieving that reset feeling afterwards brings you back every time.

This product is made with Primegreen, a series of high-performance recycled materials."
AEROREADY Designed 2 Move Feelready Sport Long Sleeve Tee,Green,Clothing,Men/Clothing,"This long sleeve tee is made for busy days. From working out to hauling the kids around town, you'll appreciate the smart design details at every step. Its FreeLift design means an enhanced range of motion and extra coverage at the back. 

This product is made with Primegreen, a series of high-performance recycled materials."
Essentials French Terry 3-Stripes Hoodie,Blue,Clothing,Men/Clothing,"Cool nights and early mornings call for the solid, reliable warmth of this adidas hoodie. The classic design is inspired by old-school workout gear from the adidas archive. Hot tip: One of the best ways to settle into a feeling of ease? Soft French terry fabric. Which is exactly what this is made of. So zip in, and get comfortable. You really don't have a choice."
